id,ts,actor,action,detail
98,2026-04-16T12:50:33,user,Allocazione,MECCANICO-EXT 4 -> 420-26 (SITE) | MECCANICO | W19-W22
97,2026-04-16T12:50:33,system,Allocazione creata,MECCANICO-EXT 4 -> 420-26 (SITE) | MECCANICO | W19-W22
96,2026-04-16T12:50:33,user,Allocazione,MECCANICO-EXT 3 -> 420-26 (SITE) | MECCANICO | W19-W22
95,2026-04-16T12:50:33,system,Allocazione creata,MECCANICO-EXT 3 -> 420-26 (SITE) | MECCANICO | W19-W22
94,2026-04-16T12:50:33,user,Allocazione,MECCANICO-EXT 2 -> 420-26 (SITE) | MECCANICO | W19-W22
93,2026-04-16T12:50:33,system,Allocazione creata,MECCANICO-EXT 2 -> 420-26 (SITE) | MECCANICO | W19-W22
92,2026-04-16T12:50:33,user,Allocazione,MECCANICO-EXT -> 420-26 (SITE) | MECCANICO | W19-W22
91,2026-04-16T12:50:33,system,Allocazione creata,MECCANICO-EXT -> 420-26 (SITE) | MECCANICO | W19-W22
90,2026-04-16T12:50:24,system,Svincolo per ambito,Commessa 2430 | MECCANICO | W19-W22 | ext_only=1 | del 0 upd 0 ins 0
89,2026-04-16T12:50:02,user,Allocazione,CARPENTIERE-EXT 3 -> 420-26 (SITE) | CARPENTIERE | W16-W22
88,2026-04-16T12:50:02,user,Allocazione,CARPENTIERE-EXT 4 -> 420-26 (SITE) | CARPENTIERE | W16-W22
87,2026-04-16T12:50:02,system,Allocazione creata,CARPENTIERE-EXT 4 -> 420-26 (SITE) | CARPENTIERE | W16-W22
86,2026-04-16T12:50:02,system,Allocazione creata,CARPENTIERE-EXT 3 -> 420-26 (SITE) | CARPENTIERE | W16-W22
85,2026-04-16T12:50:02,user,Allocazione,CARPENTIERE-EXT 2 -> 420-26 (SITE) | CARPENTIERE | W16-W22
84,2026-04-16T12:50:02,user,Allocazione,CARPENTIERE-EXT -> 420-26 (SITE) | CARPENTIERE | W16-W22
83,2026-04-16T12:50:02,system,Allocazione creata,CARPENTIERE-EXT 2 -> 420-26 (SITE) | CARPENTIERE | W16-W22
82,2026-04-16T12:50:02,system,Allocazione creata,CARPENTIERE-EXT -> 420-26 (SITE) | CARPENTIERE | W16-W22
81,2026-04-16T12:49:55,system,Svincolo per ambito,Commessa 2430 | CARPENTIERE | W16-W22 | ext_only=1 | del 2 upd 0 ins 0
80,2026-04-16T12:49:26,user,Allocazione,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W16
79,2026-04-16T12:49:26,system,Allocazione creata,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W16
78,2026-04-16T12:49:26,user,Allocazione,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W16
77,2026-04-16T12:49:26,system,Allocazione creata,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W16
76,2026-04-16T12:49:26,user,Allocazione,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W16
75,2026-04-16T12:49:26,user,Allocazione,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W16
74,2026-04-16T12:49:26,system,Allocazione creata,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W16
73,2026-04-16T12:49:26,system,Allocazione creata,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W16
72,2026-04-16T12:49:26,user,Allocazione,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W16
71,2026-04-16T12:49:26,system,Allocazione creata,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W16
70,2026-04-16T12:49:26,system,Svincolo per ambito,Commessa 2430 | GENERICO | W16-W16 | ext_only=1 | del 6 upd 0 ins 0
69,2026-04-16T12:49:03,user,Allocazione,GENERICO-EXT 6 -> 420-26 (SITE) | GENERICO | W16-W16
68,2026-04-16T12:49:03,system,Allocazione creata,GENERICO-EXT 6 -> 420-26 (SITE) | GENERICO | W16-W16
67,2026-04-16T12:49:03,user,Allocazione,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W16
